# Time-averaged data for fix myat2
# TimeStep v_myvol
31000 14377.2
31100 14330.2
31200 14290.5
31300 14268.4
31400 14229.5
31500 14185
31600 14161.1
31700 14188.4
31800 14260.6
31900 14357.6
32000 14435.3
32100 14458.3
32200 14467.1
32300 14565.3
32400 14733
32500 14867.8
32600 14954.7
32700 14978.4
32800 14965.1
32900 14938.9
33000 14914.8
33100 14864.6
33200 14801.3
33300 14727
33400 14658.9
33500 14603.5
33600 14526.7
33700 14450.3
33800 14397.6
33900 14353.4
34000 14267
34100 14099.7
34200 13937
34300 13857.5
34400 13847.9
34500 13864.1
34600 13931.8
34700 14066.4
34800 14237
34900 14410.9
35000 14522.9
35100 14583.4
35200 14621.5
35300 14722.1
35400 14863.9
35500 15003.4
35600 15063.1
35700 15058.1
35800 14993.1
35900 14906.1
36000 14800.8
36100 14702.6
36200 14580.6
36300 14429.1
36400 14278.2
36500 14170.1
36600 14061
36700 13952.9
36800 13959.5
36900 14067.5
37000 14210
37100 14330.6
37200 14378.3
37300 14360.6
37400 14333.7
37500 14318.3
37600 14296.3
37700 14213
37800 14129.2
37900 14083.5
38000 14088.5
38100 14091.8
38200 14091.6
38300 14105.5
38400 14074.6
38500 13979.9
38600 13870.4
38700 13845.8
38800 13896.7
38900 13999.7
39000 14132.2
39100 14259.7
39200 14332.5
39300 14337.2
39400 14286.6
39500 14189.9
39600 14042.1
39700 13893.1
39800 13763.7
39900 13729.1
40000 13783.2
40100 13861.7
40200 13952.6
40300 14027
40400 14077.8
40500 14150.2
40600 14256.5
40700 14358.7
40800 14490.4
40900 14647.8
41000 14765.3
41100 14790.9
41200 14715.8
41300 14616.8
41400 14547.5
41500 14461.5
41600 14351.4
41700 14298.1
41800 14287.1
41900 14300.1
42000 14357.9
42100 14418.2
42200 14419.2
42300 14364.5
42400 14351.1
42500 14375.5
42600 14410.6
42700 14450.5
42800 14480.2
42900 14462
43000 14404.4
43100 14339.7
43200 14274.4
43300 14234.3
43400 14200.5
43500 14150.4
43600 14106.2
43700 14104.4
43800 14172.8
43900 14261.8
44000 14406.2
44100 14559.2
44200 14663.7
44300 14712.9
44400 14702.2
44500 14644.9
44600 14554.6
44700 14435.5
44800 14370.6
44900 14307.6
45000 14222.4
45100 14174
45200 14198.7
45300 14338.2
45400 14501.2
45500 14619.4
45600 14681.8
45700 14711.1
45800 14693.3
45900 14666.9
46000 14691.6
46100 14747.8
46200 14738.6
46300 14648.5
46400 14562.2
46500 14516
46600 14455.9
46700 14402.7
46800 14345.7
46900 14297.7
47000 14174.6
47100 13986.8
47200 13856.8
47300 13814.9
47400 13864.8
47500 13972.3
47600 14104.2
47700 14214.7
47800 14304.7
47900 14386.8
48000 14488.4
48100 14590.6
48200 14692
48300 14816.9
48400 14883.7
48500 14883.2
48600 14814.1
48700 14722.2
48800 14625.3
48900 14527.4
49000 14446.5
49100 14313.5
49200 14157.4
49300 14032.2
49400 13959.3
49500 13914.6
49600 13898
49700 13908.9
49800 13977.3
49900 14068.3
50000 14105.3
