# Time-averaged data for fix myat3
# TimeStep v_mydensity
17800 0.0209951
17900 0.0210079
18000 0.0210165
18100 0.0209563
18200 0.020889
18300 0.0209699
18400 0.0211598
18500 0.0213674
18600 0.0216023
18700 0.0218454
18800 0.0220688
18900 0.0222664
19000 0.0223923
19100 0.0225167
19200 0.0226
19300 0.0226788
19400 0.0227824
19500 0.0228383
19600 0.0229191
19700 0.0230055
19800 0.0230345
19900 0.0230287
20000 0.0229828
20100 0.0230031
20200 0.0229868
20300 0.0228499
20400 0.0227174
20500 0.0226634
20600 0.022657
20700 0.0226925
20800 0.0227076
20900 0.0226249
21000 0.0225192
21100 0.0224216
21200 0.022339
21300 0.0223078
21400 0.0223089
21500 0.0223154
21600 0.0223383
21700 0.0223708
21800 0.0223333
21900 0.0222213
22000 0.0221228
22100 0.0221135
22200 0.0221724
22300 0.0222057
22400 0.0221688
22500 0.0221032
22600 0.0220231
22700 0.0219191
22800 0.0217823
22900 0.0217091
23000 0.021746
23100 0.0218675
23200 0.0220062
23300 0.0221488
23400 0.022234
23500 0.0222709
23600 0.0222712
23700 0.0222665
23800 0.022272
23900 0.0222689
24000 0.0222297
24100 0.0222516
24200 0.0223733
24300 0.0224848
24400 0.0226488
24500 0.0229117
24600 0.0231685
24700 0.0233897
24800 0.0235793
24900 0.0237318
25000 0.0238441
25100 0.0239332
25200 0.0240393
25300 0.0241239
25400 0.0241305
25500 0.0240368
25600 0.0238803
25700 0.0237018
25800 0.0235594
25900 0.0234737
26000 0.0233942
26100 0.023315
26200 0.02329
26300 0.023322
26400 0.0234069
26500 0.0234689
26600 0.0235797
26700 0.0237023
26800 0.0238694
26900 0.0240712
27000 0.0242126
27100 0.0242698
27200 0.0242897
27300 0.0242515
27400 0.0241122
27500 0.0238846
27600 0.0236186
27700 0.023479
27800 0.0233746
27900 0.0232346
28000 0.0231384
28100 0.0230559
28200 0.0229906
28300 0.0230146
28400 0.0231239
28500 0.0232047
28600 0.0232643
28700 0.0234044
28800 0.023535
28900 0.0236226
29000 0.0237237
29100 0.0239093
29200 0.0241043
29300 0.0242635
29400 0.0244173
29500 0.0245327
29600 0.0245213
29700 0.0243191
29800 0.0241007
29900 0.023907
30000 0.0237042
30100 0.0235626
30200 0.0235063
30300 0.0235752
30400 0.0236517
30500 0.0236996
30600 0.0238004
30700 0.0239893
30800 0.024135
30900 0.0242453
31000 0.0243441
31100 0.024424
31200 0.0244918
31300 0.0245297
31400 0.0245968
31500 0.0246739
31600 0.0247156
31700 0.0246681
31800 0.0245432
31900 0.0243774
32000 0.0242461
32100 0.0242075
32200 0.0241929
32300 0.0240299
32400 0.0237565
32500 0.0235409
32600 0.0234041
32700 0.023367
32800 0.0233878
32900 0.0234287
33000 0.0234666
33100 0.0235459
33200 0.0236466
33300 0.0237659
33400 0.0238763
33500 0.0239669
33600 0.0240936
33700 0.0242209
33800 0.0243096
33900 0.0243845
34000 0.0245323
34100 0.0248235
34200 0.0251132
34300 0.0252571
34400 0.0252745
34500 0.025245
34600 0.0251225
34700 0.0248823
34800 0.0245841
34900 0.0242873
35000 0.0240999
35100 0.0239999
35200 0.0239374
35300 0.023774
35400 0.0235472
35500 0.0233282
35600 0.0232357
35700 0.0232433
35800 0.0233441
35900 0.0234803
36000 0.0236475
36100 0.0238054
36200 0.0240047
36300 0.0242568
36400 0.024513
36500 0.0246999
36600 0.0248917
36700 0.0250845
36800 0.0250726
36900 0.0248803
37000 0.0246307
37100 0.0244234
37200 0.0243423
37300 0.0243722
37400 0.024418
37500 0.0244442
37600 0.0244819
37700 0.0246255
37800 0.0247714
37900 0.0248517
38000 0.024843
38100 0.0248371
38200 0.0248374
38300 0.024813
38400 0.0248675
38500 0.0250362
38600 0.0252336
38700 0.0252785
38800 0.0251859
38900 0.0250008
39000 0.0247663
39100 0.0245449
39200 0.0244201
39300 0.024412
39400 0.0244986
39500 0.0246656
39600 0.0249253
39700 0.0251927
39800 0.0254292
39900 0.0254932
40000 0.0253932
40100 0.0252496
40200 0.025085
40300 0.0249519
40400 0.0248619
40500 0.0247347
40600 0.0245502
40700 0.0243756
40800 0.0241542
40900 0.0238946
41000 0.0237043
41100 0.0236631
41200 0.0237841
41300 0.023945
41400 0.0240591
41500 0.0242024
41600 0.0243879
41700 0.0244788
41800 0.0244976
41900 0.0244754
42000 0.0243769
42100 0.0242749
42200 0.0242732
42300 0.0243657
42400 0.0243884
42500 0.024347
42600 0.0242878
42700 0.0242207
42800 0.0241709
42900 0.0242014
43000 0.0242981
43100 0.0244079
43200 0.0245194
43300 0.0245885
43400 0.024647
43500 0.0247343
43600 0.0248118
43700 0.0248149
43800 0.0246953
43900 0.0245413
44000 0.0242953
44100 0.02404
44200 0.0238685
44300 0.0237886
44400 0.0238059
44500 0.0238992
44600 0.0240476
44700 0.0242458
44800 0.0243553
44900 0.0244626
45000 0.0246091
45100 0.0246931
45200 0.0246503
45300 0.0244106
45400 0.0241362
45500 0.0239409
45600 0.0238391
45700 0.0237916
45800 0.0238204
45900 0.0238632
46000 0.0238231
46100 0.0237323
46200 0.0237472
46300 0.0238933
46400 0.0240349
46500 0.0241113
46600 0.0242115
46700 0.024301
46800 0.0243975
46900 0.0244795
47000 0.0246924
47100 0.025024
47200 0.0252584
47300 0.0253349
47400 0.0252439
47500 0.0250497
47600 0.0248155
47700 0.0246225
47800 0.0244675
47900 0.024328
48000 0.0241573
48100 0.0239881
48200 0.0238227
48300 0.0236217
48400 0.0235156
48500 0.0235164
48600 0.0236261
48700 0.0237737
48800 0.0239312
48900 0.0240926
49000 0.0242274
49100 0.0244527
49200 0.0247223
49300 0.0249427
49400 0.0250729
49500 0.0251534
49600 0.0251834
49700 0.0251638
49800 0.0250407
49900 0.0248788
50000 0.0248133
